,product_id,line_item_id,total,product_name
0,59,14,1385.8,Ball
1,23,12,16.56,Bike
2,55,19,818.12,Chair
3,8,12,186.88,Concrete Cheese
4,28,12,633.81,Concrete Gloves
5,34,19,1942.56,Concrete Pants
6,40,21,1285.05,Cotton Ball
7,6,26,2168.4,Cotton Bike
8,10,30,3263.7000000000003,Cotton Sausages
9,53,21,1282.56,Ergonomic Cheese
10,4,21,2058.71,Ergonomic Wooden Soap
11,50,18,2330.37,Fantastic Fish
12,17,19,1458.0,Fantastic Sausages
13,1,21,506.25,Fantastic Shoes
14,29,21,2213.14,For repair Fresh Fish
15,2,28,1780.17,For repair Soft Table
16,37,21,555.9599999999999,Frozen Computer
17,16,12,1211.55,Gorgeous Salad
18,14,19,720.65,Handcrafted Hat
19,45,22,1968.9999999999998,Handcrafted Wooden Fish
20,19,17,1335.56,Hat
21,25,20,378.24,Incredible Hat
22,58,17,1499.5500000000002,Intelligent Chips
23,20,22,982.5000000000001,Licensed Cheese
24,54,21,2362.2000000000003,Licensed Plastic Bike
25,42,14,1400.0800000000002,Mouse
26,12,19,1348.2,Mouse
27,57,20,1306.3700000000001,New Fresh Chips
28,51,18,1651.63,Pants
29,24,20,1290.9,Plastic Pants
30,35,15,1633.5500000000002,Practical Fish
31,41,14,588.19,Practical Steel Towels
32,44,18,224.0,Practical Tuna
33,56,16,1045.8,Refined Ball
34,30,14,483.84,Refined Cotton Sausages
35,48,16,1499.35,Rubber Mouse
36,52,19,1052.56,Rubber Towels
37,43,15,76.85000000000001,Salad
38,3,19,986.44,Sausages
39,46,15,560.9200000000001,Sausages
40,18,13,25.300000000000004,Shirt
41,11,23,1896.58,Shoes
42,36,21,878.08,Sleek Concrete Cheese
43,7,18,2067.87,Sleek Granite Car
44,15,30,438.18,Small Fish
45,22,17,1069.17,Small Shirt
46,13,19,352.95,Soft Pizza
47,21,18,1799.28,Steel Car
48,33,10,734.58,Steel Computer
49,31,23,264.12,Steel Mouse
50,49,17,1348.1999999999998,Steel Sausages
51,27,17,453.9,Table
52,32,19,850.75,Tasty Pizza
53,47,13,1535.7600000000002,Tuna
54,26,24,1433.7,Unbranded Chicken
55,39,13,992.1600000000001,Unbranded Wooden Hat
56,9,22,211.64999999999998,Unbranded Wooden Keyboard
57,38,18,952.5600000000001,Wooden Mouse
58,5,20,1767.3000000000002,Wooden Shoes
